,0,1,2,3,4,5,6,7,8,9,10,11,12,class
0,-35.9323954643,-0.0378077493724,0.129166684322,0.095928738005,0.135686865632,-0.0254304337853,-0.066298405495,0.00454198630299,-0.0717610488246,-0.0174914402513,0.0394614849719,-0.042183320593,0.077724022257,piano
1,-35.9376897386,-0.0317524824625,-0.0236105363547,-0.0126693022945,0.130765111215,0.0466540933029,0.0404814619088,0.0258990108047,-0.0331304015794,0.0825156900971,-0.0350021873688,0.0136653094621,0.164378181656,piano
2,-35.9405291147,-0.0135191942179,0.0396313597504,-0.000952407891793,0.023011212123,0.0351939017341,0.0112241446999,0.0869974267363,-0.0147859866653,0.060799757215,0.0487190924421,-0.00152694844477,0.00837183825397,piano
3,-35.9315073932,-0.0970533406245,0.0923702122158,0.0879759259426,0.0815642000278,0.0478292340404,0.0539178766801,0.0506952699428,0.0458117801999,-0.0329652236512,-0.0285790420801,-0.0435450606936,-0.0454225378283,piano
4,-35.934160577,-0.0694223816697,0.118011359266,0.041283937984,-0.0115437701684,-0.00764147637876,0.0490516128732,0.04900771577,0.0921724106135,0.0599726125698,0.00907604527247,-0.0793343951856,-0.0255937489947,piano
5,-35.933667788,-0.00084510250483,0.0933707532608,0.0422731988386,0.0327306595254,-0.0619457056034,0.0421194280049,0.0642206571174,-0.0582762460009,0.0967828613223,0.00394374047599,0.0227625486673,0.177114728611,piano
6,-35.9315631649,0.0555211723257,0.142306276242,-0.103494350783,0.0375758640372,0.0296785629276,-0.0262008493774,0.0215982063178,-0.0404699076691,-0.0241594123497,0.0344801007579,0.0385339228241,0.00431757865202,dhol
7,-35.9294824914,0.00293425362736,0.180005234627,-0.0592555748061,0.0299647794887,-0.00308490396061,-0.0420357826171,0.0792275608986,0.0713767764944,0.0479266773604,0.0591202734176,-0.0919689896092,-0.0554765298085,violin
8,-35.9340759442,-0.0309119003674,0.132668481128,-0.0239149371131,0.0584923545129,-0.0152468876349,0.0142114987668,0.0601717249204,-0.0485979999653,0.0466105667969,0.0850397117049,-0.0423520199586,0.0997668233564,violin
9,-35.9247499945,0.00881329249509,0.121917586129,-0.0912828453715,0.0640297603001,-0.0461127319074,0.00628808303337,0.0946480472098,-0.0139634005407,0.0139370855282,-0.0131934198309,-0.0408710946825,0.0716085956493,violin
10,-35.9284522818,0.000411204984827,0.146513856711,-0.0708739851725,0.0649356902835,-0.0247927546853,-0.016376353992,0.105458846972,-0.0104363072634,0.00852196269297,0.0687398601927,-0.06105079852,-0.0256558189281,violin
11,-35.9312224783,-0.00624878779224,0.159523913939,-0.0538118792313,0.0407079298388,-0.0162939937133,-0.00709399686085,0.111279710268,0.0137411036787,-0.0233493176451,0.05057406718,-0.0318931700624,0.0213393563599,violin
12,-35.9266843168,-0.0108814242559,0.137781101162,-0.0682293443298,0.0797825331883,0.015335007128,-0.0102224997778,0.0452332533983,0.0054177843303,0.065230689492,0.0605165924028,-0.0174689014575,0.0172758616825,violin
